,Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
5,2019-09,Adams,State FDK,77.0,1.0,1.0,49.0,29.0,1.0,79.0,79.0,79.0
6,2019-09,Adams,1,73.0,5.0,5.0,42.0,40.0,0.0,82.0,82.0,82.0
7,2019-09,Adams,2,60.0,4.0,6.0,36.0,34.0,0.0,70.0,70.0,70.0
8,2019-09,Adams,3,75.0,5.0,9.0,44.0,44.0,0.0,88.0,88.0,88.0
9,2019-09,Adams,4,74.0,3.0,16.0,44.0,47.0,0.0,91.0,91.0,91.0
10,2019-09,Adams,5,68.0,5.0,18.0,45.0,44.0,0.0,89.0,89.0,89.0
6,2019-09,Aki Kurose,4 5 6,130.0,57.0,38.0,103.0,105.0,0.0,208.0,208.0,208.0
7,2019-09,Aki Kurose,7,164.0,46.0,39.0,127.0,111.0,0.0,238.0,238.0,238.0
8,2019-09,Aki Kurose,8,136.0,37.0,33.0,109.0,90.0,0.0,199.0,199.0,199.0
5,2019-09,Alki,State FDK,55.0,0.0,2.0,27.0,30.0,0.0,57.0,57.0,57.0
6,2019-09,Alki,1,43.0,5.0,5.0,31.0,22.0,0.0,53.0,53.0,53.0
7,2019-09,Alki,2,65.0,3.0,3.0,31.0,40.0,0.0,71.0,71.0,71.0
8,2019-09,Alki,3,42.0,2.0,13.0,33.0,24.0,0.0,57.0,57.0,57.0
9,2019-09,Alki,4,42.0,1.0,6.0,24.0,25.0,0.0,49.0,49.0,49.0
10,2019-09,Alki,5,54.0,2.0,13.0,41.0,28.0,0.0,69.0,69.0,69.0
4,2019-09,Arbor Heights,Preschool,27.0,0.0,3.0,10.0,20.0,0.0,30.0,0.0,0.0
5,2019-09,Arbor Heights,State FDK,81.0,3.0,8.0,48.0,43.0,1.0,92.0,92.0,92.0
6,2019-09,Arbor Heights,1,92.0,9.0,13.0,52.0,60.0,0.0,112.0,112.0,112.0
7,2019-09,Arbor Heights,2,70.0,7.0,20.0,49.0,47.0,0.0,96.0,96.0,96.0
8,2019-09,Arbor Heights,3,80.0,4.0,14.0,52.0,46.0,0.0,98.0,98.0,98.0
9,2019-09,Arbor Heights,4,60.0,6.0,17.0,40.0,41.0,0.0,81.0,81.0,81.0
10,2019-09,Arbor Heights,5,65.0,8.0,22.0,53.0,37.0,0.0,90.0,90.0,90.0
4,2019-09,B.F. Day,Preschool,25.0,0.0,10.0,24.0,11.0,0.0,35.0,0.0,0.0
5,2019-09,B.F. Day,State FDK,88.0,2.0,6.0,53.0,43.0,0.0,96.0,96.0,96.0
6,2019-09,B.F. Day,1,67.0,3.0,6.0,39.0,36.0,1.0,76.0,76.0,76.0
7,2019-09,B.F. Day,2,33.0,3.0,10.0,27.0,19.0,0.0,46.0,46.0,46.0
8,2019-09,B.F. Day,3,43.0,6.0,11.0,33.0,25.0,0.0,58.0,58.0,58.0
9,2019-09,B.F. Day,4,27.0,3.0,8.0,21.0,17.0,0.0,38.0,38.0,38.0
10,2019-09,B.F. Day,5,46.0,1.0,12.0,27.0,31.0,0.0,58.0,58.0,58.0
6,2019-09,Ballard,9,354.0,4.0,49.0,217.0,188.0,1.0,406.0,406.0,405.31
7,2019-09,Ballard,10,383.0,7.0,45.0,237.0,197.0,0.0,434.0,434.0,430.61
8,2019-09,Ballard,11,434.0,11.0,57.0,271.0,228.0,0.0,499.0,485.0,455.6
9,2019-09,Ballard,12,447.0,14.0,41.0,261.0,237.0,1.0,499.0,464.0,409.86
5,2019-09,Beacon Hill International,State FDK,48.0,17.0,4.0,36.0,32.0,0.0,68.0,68.0,68.0
6,2019-09,Beacon Hill International,1,40.0,32.0,2.0,35.0,37.0,0.0,72.0,72.0,72.0
7,2019-09,Beacon Hill International,2,32.0,30.0,3.0,35.0,27.0,0.0,62.0,62.0,62.0
8,2019-09,Beacon Hill International,3,42.0,24.0,5.0,32.0,36.0,0.0,68.0,68.0,68.0
9,2019-09,Beacon Hill International,4,47.0,20.0,8.0,31.0,38.0,0.0,69.0,69.0,69.0
10,2019-09,Beacon Hill International,5,57.0,9.0,8.0,32.0,40.0,0.0,72.0,72.0,72.0
4,2019-09,Birth To 3 Contract,Preschool,0.0,0.0,544.0,322.0,222.0,0.0,544.0,0.0,0.0
7,2019-09,Bridges Transition,11,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
8,2019-09,Bridges Transition,12,0.0,20.0,111.0,71.0,40.0,0.0,111.0,111.0,111.0
4,2019-09,Broadview-Thomson K-8,Preschool,47.0,0.0,11.0,32.0,26.0,0.0,58.0,0.0,0.0
5,2019-09,Broadview-Thomson K-8,State FDK,70.0,15.0,1.0,45.0,40.0,0.0,85.0,85.0,85.0
6,2019-09,Broadview-Thomson K-8,1,42.0,31.0,12.0,41.0,42.0,0.0,83.0,83.0,83.0
7,2019-09,Broadview-Thomson K-8,2,36.0,20.0,9.0,31.0,30.0,1.0,62.0,62.0,62.0
8,2019-09,Broadview-Thomson K-8,3,44.0,13.0,12.0,35.0,32.0,0.0,67.0,67.0,67.0
9,2019-09,Broadview-Thomson K-8,4,42.0,13.0,14.0,33.0,31.0,0.0,64.0,64.0,64.0
10,2019-09,Broadview-Thomson K-8,5,31.0,15.0,20.0,39.0,24.0,1.0,64.0,64.0,64.0
11,2019-09,Broadview-Thomson K-8,6,34.0,13.0,12.0,33.0,22.0,0.0,55.0,55.0,55.0
12,2019-09,Broadview-Thomson K-8,7,32.0,7.0,8.0,23.0,22.0,0.0,45.0,45.0,45.0
13,2019-09,Broadview-Thomson K-8,8,22.0,1.0,8.0,11.0,20.0,0.0,31.0,31.0,31.0
5,2019-09,Bryant,State FDK,100.0,5.0,1.0,59.0,47.0,0.0,106.0,106.0,106.0
6,2019-09,Bryant,1,93.0,7.0,3.0,67.0,36.0,0.0,103.0,103.0,103.0
7,2019-09,Bryant,2,78.0,5.0,5.0,42.0,46.0,0.0,88.0,88.0,88.0
8,2019-09,Bryant,3,86.0,0.0,6.0,47.0,45.0,0.0,92.0,92.0,92.0
9,2019-09,Bryant,4,86.0,3.0,9.0,49.0,49.0,0.0,98.0,98.0,98.0
10,2019-09,Bryant,5,87.0,3.0,3.0,48.0,44.0,1.0,93.0,93.0,93.0
5,2019-09,Cascade Parent Ptr Prg,State FDK,18.0,0.0,1.0,10.0,9.0,0.0,19.0,19.0,18.8
6,2019-09,Cascade Parent Ptr Prg,1,22.0,1.0,3.0,12.0,13.0,1.0,26.0,26.0,25.78
7,2019-09,Cascade Parent Ptr Prg,2,15.0,3.0,3.0,14.0,7.0,0.0,21.0,21.0,21.0
8,2019-09,Cascade Parent Ptr Prg,3,14.0,1.0,2.0,8.0,9.0,0.0,17.0,17.0,16.8
9,2019-09,Cascade Parent Ptr Prg,4,17.0,0.0,6.0,16.0,7.0,0.0,23.0,23.0,22.16
10,2019-09,Cascade Parent Ptr Prg,5,13.0,0.0,2.0,9.0,6.0,0.0,15.0,15.0,14.2
11,2019-09,Cascade Parent Ptr Prg,6,13.0,0.0,5.0,10.0,8.0,0.0,18.0,18.0,18.0
12,2019-09,Cascade Parent Ptr Prg,7,17.0,0.0,5.0,14.0,8.0,0.0,22.0,22.0,21.5
13,2019-09,Cascade Parent Ptr Prg,8,7.0,2.0,4.0,7.0,5.0,0.0,12.0,12.0,12.0
4,2019-09,Cascadia,Preschool,18.0,0.0,0.0,11.0,7.0,0.0,18.0,0.0,0.0
6,2019-09,Cascadia,1,29.0,1.0,2.0,21.0,11.0,0.0,32.0,32.0,32.0
7,2019-09,Cascadia,2,89.0,2.0,7.0,58.0,40.0,0.0,98.0,98.0,98.0
8,2019-09,Cascadia,3,96.0,2.0,12.0,66.0,44.0,0.0,110.0,110.0,110.0
9,2019-09,Cascadia,4,114.0,0.0,18.0,72.0,60.0,0.0,132.0,132.0,132.0
10,2019-09,Cascadia,5,127.0,0.0,6.0,80.0,53.0,0.0,133.0,133.0,133.0
5,2019-09,Catharine Blaine K-8,State FDK,60.0,1.0,0.0,29.0,32.0,0.0,61.0,61.0,61.0
6,2019-09,Catharine Blaine K-8,1,55.0,1.0,4.0,25.0,35.0,0.0,60.0,60.0,60.0
7,2019-09,Catharine Blaine K-8,2,47.0,2.0,4.0,28.0,24.0,0.0,52.0,52.0,52.0
8,2019-09,Catharine Blaine K-8,3,51.0,1.0,11.0,36.0,26.0,0.0,62.0,62.0,62.0
9,2019-09,Catharine Blaine K-8,4,54.0,4.0,8.0,35.0,30.0,0.0,65.0,65.0,65.0
10,2019-09,Catharine Blaine K-8,5,72.0,5.0,11.0,44.0,41.0,0.0,85.0,85.0,85.0
11,2019-09,Catharine Blaine K-8,6,78.0,4.0,8.0,55.0,34.0,0.0,89.0,89.0,89.0
12,2019-09,Catharine Blaine K-8,7,72.0,2.0,9.0,44.0,36.0,1.0,81.0,81.0,81.0
13,2019-09,Catharine Blaine K-8,8,68.0,1.0,7.0,33.0,43.0,0.0,76.0,76.0,76.0
4,2019-09,Cedar Park,Preschool,35.0,0.0,0.0,15.0,20.0,0.0,35.0,0.0,0.0
5,2019-09,Cedar Park,State FDK,37.0,7.0,1.0,25.0,20.0,0.0,45.0,45.0,45.0
6,2019-09,Cedar Park,1,38.0,4.0,2.0,25.0,19.0,0.0,44.0,44.0,44.0
7,2019-09,Cedar Park,2,21.0,0.0,4.0,8.0,17.0,0.0,25.0,25.0,25.0
8,2019-09,Cedar Park,3,11.0,0.0,1.0,5.0,7.0,0.0,12.0,12.0,12.0
9,2019-09,Cedar Park,4,12.0,0.0,2.0,7.0,7.0,0.0,14.0,14.0,14.0
10,2019-09,Cedar Park,5,4.0,0.0,1.0,5.0,0.0,0.0,5.0,5.0,5.0
6,2019-09,Center School,9,52.0,2.0,29.0,35.0,44.0,3.0,82.0,82.0,79.99
7,2019-09,Center School,10,53.0,0.0,16.0,26.0,42.0,1.0,69.0,69.0,65.95
8,2019-09,Center School,11,53.0,0.0,10.0,19.0,43.0,1.0,63.0,56.0,40.86
9,2019-09,Center School,12,42.0,0.0,7.0,18.0,31.0,0.0,49.0,44.0,31.91
6,2019-09,Chief Sealth International,9,242.0,59.0,70.0,191.0,163.0,0.0,354.0,354.0,352.81
7,2019-09,Chief Sealth International,10,175.0,45.0,48.0,123.0,127.0,0.0,250.0,250.0,249.5
8,2019-09,Chief Sealth International,11,197.0,32.0,45.0,145.0,118.0,0.0,263.0,240.0,210.76
9,2019-09,Chief Sealth International,12,173.0,42.0,37.0,116.0,128.0,0.0,244.0,208.0,170.98
6,2019-09,Cleveland STEM,9,192.0,18.0,27.0,120.0,106.0,0.0,226.0,226.0,225.99
7,2019-09,Cleveland STEM,10,198.0,14.0,14.0,131.0,93.0,0.0,224.0,224.0,224.0
8,2019-09,Cleveland STEM,11,174.0,24.0,26.0,107.0,108.0,0.0,215.0,203.0,164.88
9,2019-09,Cleveland STEM,12,200.0,16.0,23.0,128.0,106.0,0.0,234.0,200.0,168.57
5,2019-09,Coe,State FDK,93.0,9.0,2.0,53.0,51.0,0.0,104.0,104.0,104.0
6,2019-09,Coe,1,72.0,2.0,7.0,38.0,43.0,0.0,81.0,81.0,81.0
7,2019-09,Coe,2,75.0,5.0,12.0,47.0,45.0,0.0,92.0,92.0,92.0
8,2019-09,Coe,3,80.0,1.0,14.0,48.0,47.0,0.0,95.0,95.0,95.0
9,2019-09,Coe,4,67.0,1.0,23.0,53.0,38.0,0.0,91.0,91.0,91.0
10,2019-09,Coe,5,77.0,2.0,9.0,40.0,47.0,0.0,87.0,87.0,87.0
4,2019-09,Concord International,Preschool,19.0,0.0,0.0,4.0,15.0,0.0,19.0,0.0,0.0
5,2019-09,Concord International,State FDK,36.0,8.0,6.0,26.0,21.0,0.0,47.0,47.0,47.0
6,2019-09,Concord International,1,18.0,32.0,3.0,27.0,24.0,0.0,51.0,51.0,51.0
7,2019-09,Concord International,2,29.0,22.0,5.0,22.0,32.0,0.0,54.0,54.0,54.0
8,2019-09,Concord International,3,24.0,20.0,7.0,27.0,20.0,0.0,47.0,47.0,47.0
9,2019-09,Concord International,4,21.0,24.0,10.0,24.0,26.0,0.0,50.0,50.0,50.0
10,2019-09,Concord International,5,32.0,25.0,9.0,27.0,34.0,0.0,61.0,61.0,61.0
5,2019-09,Daniel Bagley,State FDK,66.0,4.0,4.0,40.0,34.0,0.0,74.0,74.0,74.0
6,2019-09,Daniel Bagley,1,50.0,5.0,5.0,32.0,27.0,0.0,59.0,59.0,59.0
7,2019-09,Daniel Bagley,2,53.0,8.0,6.0,28.0,38.0,0.0,66.0,66.0,66.0
8,2019-09,Daniel Bagley,3,42.0,4.0,10.0,24.0,30.0,0.0,54.0,54.0,54.0
9,2019-09,Daniel Bagley,4,46.0,2.0,11.0,29.0,30.0,0.0,59.0,59.0,59.0
10,2019-09,Daniel Bagley,5,57.0,6.0,14.0,38.0,36.0,0.0,74.0,74.0,74.0
4,2019-09,Dearborn Park International,Preschool,20.0,0.0,0.0,9.0,11.0,0.0,20.0,0.0,0.0
5,2019-09,Dearborn Park International,State FDK,40.0,13.0,2.0,24.0,31.0,0.0,55.0,55.0,55.0
6,2019-09,Dearborn Park International,1,34.0,24.0,5.0,38.0,22.0,0.0,60.0,60.0,60.0
7,2019-09,Dearborn Park International,2,26.0,22.0,1.0,25.0,23.0,0.0,48.0,48.0,48.0
8,2019-09,Dearborn Park International,3,31.0,17.0,2.0,24.0,26.0,0.0,50.0,50.0,50.0
9,2019-09,Dearborn Park International,4,32.0,18.0,4.0,28.0,24.0,0.0,52.0,52.0,52.0
10,2019-09,Dearborn Park International,5,37.0,14.0,13.0,22.0,37.0,0.0,59.0,59.0,59.0
6,2019-09,Decatur,1,13.0,0.0,0.0,9.0,4.0,0.0,13.0,13.0,13.0
7,2019-09,Decatur,2,32.0,1.0,2.0,19.0,16.0,0.0,35.0,35.0,35.0
8,2019-09,Decatur,3,35.0,3.0,3.0,21.0,20.0,0.0,41.0,41.0,41.0
9,2019-09,Decatur,4,70.0,0.0,7.0,37.0,40.0,0.0,77.0,77.0,77.0
10,2019-09,Decatur,5,54.0,0.0,10.0,39.0,25.0,0.0,64.0,64.0,64.0
6,2019-09,Denny International,4 5 6,226.0,56.0,49.0,150.0,169.0,0.0,319.0,319.0,319.0
7,2019-09,Denny International,7,204.0,38.0,59.0,157.0,126.0,1.0,284.0,284.0,283.32
8,2019-09,Denny International,8,187.0,48.0,58.0,154.0,116.0,0.0,270.0,270.0,269.8
4,2019-09,Dunlap,Preschool,40.0,0.0,16.0,36.0,20.0,0.0,56.0,0.0,0.0
5,2019-09,Dunlap,State FDK,35.0,11.0,1.0,21.0,25.0,1.0,47.0,47.0,47.0
6,2019-09,Dunlap,1,21.0,27.0,1.0,24.0,24.0,0.0,48.0,48.0,48.0
7,2019-09,Dunlap,2,16.0,13.0,2.0,14.0,16.0,0.0,30.0,30.0,30.0
8,2019-09,Dunlap,3,29.0,17.0,4.0,21.0,28.0,0.0,49.0,49.0,49.0
9,2019-09,Dunlap,4,21.0,13.0,3.0,19.0,17.0,0.0,36.0,36.0,36.0
10,2019-09,Dunlap,5,21.0,12.0,2.0,14.0,19.0,0.0,33.0,33.0,33.0
6,2019-09,Eckstein,4 5 6,327.0,18.0,53.0,195.0,195.0,0.0,390.0,390.0,390.0
7,2019-09,Eckstein,7,324.0,10.0,51.0,193.0,187.0,0.0,380.0,380.0,379.48
8,2019-09,Eckstein,8,264.0,10.0,50.0,147.0,169.0,1.0,317.0,317.0,315.82
4,2019-09,Emerson,Preschool,27.0,1.0,15.0,23.0,19.0,0.0,42.0,0.0,0.0
5,2019-09,Emerson,State FDK,34.0,23.0,7.0,33.0,31.0,0.0,64.0,64.0,64.0
6,2019-09,Emerson,1,20.0,35.0,13.0,31.0,30.0,0.0,61.0,61.0,61.0
7,2019-09,Emerson,2,22.0,26.0,12.0,22.0,33.0,0.0,55.0,55.0,55.0
8,2019-09,Emerson,3,21.0,18.0,11.0,29.0,18.0,0.0,47.0,47.0,47.0
9,2019-09,Emerson,4,30.0,24.0,15.0,32.0,31.0,0.0,63.0,63.0,63.0
10,2019-09,Emerson,5,30.0,13.0,7.0,29.0,16.0,0.0,45.0,45.0,45.0
4,2019-09,Exp Ed Unit,Preschool,1.0,0.0,40.0,30.0,11.0,0.0,41.0,0.0,0.0
5,2019-09,Exp Ed Unit,"1 2 3 4 5     
State FDK",0.0,0.0,13.0,10.0,3.0,0.0,13.0,13.0,13.0
4,2019-09,Fairmount Park,Preschool,5.0,0.0,7.0,9.0,3.0,0.0,12.0,0.0,0.0
5,2019-09,Fairmount Park,State FDK,64.0,5.0,4.0,39.0,34.0,0.0,73.0,73.0,73.0
6,2019-09,Fairmount Park,1,59.0,3.0,4.0,30.0,36.0,0.0,66.0,66.0,66.0
7,2019-09,Fairmount Park,2,75.0,4.0,7.0,40.0,46.0,0.0,86.0,86.0,86.0
8,2019-09,Fairmount Park,3,63.0,4.0,10.0,36.0,40.0,0.0,76.0,76.0,76.0
9,2019-09,Fairmount Park,4,84.0,3.0,14.0,45.0,56.0,0.0,101.0,101.0,101.0
10,2019-09,Fairmount Park,5,84.0,4.0,17.0,59.0,44.0,0.0,103.0,103.0,103.0
6,2019-09,Franklin,9,227.0,41.0,29.0,131.0,151.0,0.0,282.0,282.0,282.0
7,2019-09,Franklin,10,212.0,71.0,31.0,133.0,166.0,0.0,299.0,299.0,298.4
8,2019-09,Franklin,11,239.0,64.0,47.0,154.0,173.0,0.0,327.0,318.0,286.36
9,2019-09,Franklin,12,202.0,57.0,27.0,134.0,146.0,0.0,280.0,267.0,226.08
6,2019-09,Garfield,9,345.0,21.0,39.0,200.0,197.0,0.0,397.0,397.0,396.34
7,2019-09,Garfield,10,371.0,26.0,39.0,234.0,193.0,1.0,428.0,428.0,427.03
8,2019-09,Garfield,11,440.0,22.0,28.0,229.0,251.0,0.0,480.0,417.0,377.15
9,2019-09,Garfield,12,421.0,23.0,23.0,222.0,238.0,0.0,460.0,340.0,304.61
5,2019-09,Gatewood,State FDK,64.0,1.0,1.0,39.0,27.0,0.0,66.0,66.0,66.0
6,2019-09,Gatewood,1,60.0,7.0,5.0,36.0,36.0,0.0,72.0,72.0,72.0
7,2019-09,Gatewood,2,65.0,1.0,3.0,39.0,29.0,1.0,69.0,69.0,69.0
8,2019-09,Gatewood,3,40.0,5.0,15.0,36.0,22.0,0.0,58.0,58.0,58.0
9,2019-09,Gatewood,4,52.0,6.0,14.0,35.0,35.0,0.0,70.0,70.0,70.0
10,2019-09,Gatewood,5,53.0,4.0,6.0,36.0,25.0,0.0,61.0,61.0,61.0
4,2019-09,Gatzert,Preschool,23.0,0.0,10.0,23.0,10.0,0.0,33.0,0.0,0.0
5,2019-09,Gatzert,State FDK,27.0,7.0,5.0,18.0,21.0,0.0,39.0,39.0,39.0
6,2019-09,Gatzert,1,21.0,18.0,6.0,23.0,20.0,0.0,43.0,43.0,43.0
7,2019-09,Gatzert,2,32.0,16.0,7.0,22.0,28.0,0.0,50.0,50.0,50.0
8,2019-09,Gatzert,3,37.0,16.0,7.0,35.0,23.0,0.0,58.0,58.0,58.0
9,2019-09,Gatzert,4,23.0,17.0,7.0,21.0,21.0,0.0,42.0,42.0,42.0
10,2019-09,Gatzert,5,30.0,22.0,13.0,30.0,27.0,0.0,57.0,57.0,57.0
5,2019-09,Genessee Hill,State FDK,87.0,3.0,3.0,48.0,45.0,0.0,93.0,93.0,93.0
6,2019-09,Genessee Hill,1,93.0,4.0,10.0,50.0,55.0,0.0,105.0,105.0,105.0
7,2019-09,Genessee Hill,2,107.0,3.0,14.0,64.0,58.0,1.0,123.0,123.0,123.0
8,2019-09,Genessee Hill,3,94.0,2.0,20.0,52.0,64.0,0.0,116.0,116.0,116.0
9,2019-09,Genessee Hill,4,84.0,2.0,21.0,65.0,41.0,0.0,106.0,106.0,106.0
10,2019-09,Genessee Hill,5,90.0,3.0,14.0,56.0,50.0,0.0,106.0,106.0,106.0
5,2019-09,Graham Hill,State FDK,48.0,16.0,6.0,40.0,26.0,0.0,66.0,66.0,66.0
6,2019-09,Graham Hill,1,28.0,18.0,2.0,25.0,22.0,0.0,47.0,47.0,47.0
7,2019-09,Graham Hill,2,30.0,28.0,7.0,37.0,25.0,0.0,62.0,62.0,62.0
8,2019-09,Graham Hill,3,37.0,22.0,12.0,29.0,35.0,0.0,64.0,64.0,64.0
9,2019-09,Graham Hill,4,23.0,14.0,8.0,27.0,14.0,0.0,41.0,41.0,41.0
10,2019-09,Graham Hill,5,27.0,16.0,5.0,24.0,21.0,0.0,45.0,45.0,45.0
4,2019-09,Green Lake,Preschool,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0
5,2019-09,Green Lake,State FDK,63.0,2.0,0.0,29.0,36.0,0.0,65.0,65.0,65.0
6,2019-09,Green Lake,1,59.0,6.0,7.0,31.0,41.0,0.0,72.0,72.0,72.0
7,2019-09,Green Lake,2,61.0,3.0,9.0,34.0,39.0,0.0,73.0,73.0,73.0
8,2019-09,Green Lake,3,60.0,1.0,12.0,28.0,45.0,0.0,73.0,73.0,73.0
9,2019-09,Green Lake,4,54.0,4.0,8.0,36.0,29.0,0.0,65.0,65.0,65.0
10,2019-09,Green Lake,5,62.0,3.0,10.0,38.0,37.0,0.0,75.0,75.0,75.0
4,2019-09,Greenwood,Preschool,1.0,0.0,8.0,6.0,3.0,0.0,9.0,0.0,0.0
5,2019-09,Greenwood,State FDK,58.0,0.0,0.0,30.0,28.0,0.0,58.0,58.0,58.0
6,2019-09,Greenwood,1,53.0,0.0,4.0,29.0,28.0,0.0,57.0,57.0,57.0
7,2019-09,Greenwood,2,42.0,4.0,3.0,22.0,27.0,0.0,49.0,49.0,49.0
8,2019-09,Greenwood,3,41.0,1.0,7.0,19.0,30.0,0.0,49.0,49.0,49.0
9,2019-09,Greenwood,4,34.0,1.0,8.0,16.0,27.0,0.0,43.0,43.0,43.0
10,2019-09,Greenwood,5,48.0,2.0,9.0,24.0,35.0,0.0,59.0,59.0,59.0
6,2019-09,Hamilton International,4 5 6,328.0,2.0,33.0,196.0,164.0,2.0,362.0,362.0,362.0
7,2019-09,Hamilton International,7,302.0,7.0,42.0,175.0,172.0,0.0,347.0,347.0,346.71
8,2019-09,Hamilton International,8,300.0,8.0,27.0,170.0,164.0,0.0,334.0,334.0,333.22
5,2019-09,Hawthorne,State FDK,62.0,3.0,1.0,33.0,33.0,0.0,66.0,66.0,66.0
6,2019-09,Hawthorne,1,56.0,14.0,3.0,39.0,34.0,0.0,73.0,73.0,73.0
7,2019-09,Hawthorne,2,42.0,20.0,3.0,36.0,27.0,0.0,63.0,63.0,63.0
8,2019-09,Hawthorne,3,48.0,12.0,7.0,29.0,37.0,0.0,66.0,66.0,66.0
9,2019-09,Hawthorne,4,60.0,14.0,12.0,38.0,46.0,0.0,84.0,84.0,84.0
10,2019-09,Hawthorne,5,43.0,12.0,9.0,33.0,29.0,0.0,62.0,62.0,62.0
5,2019-09,Hay,State FDK,81.0,11.0,4.0,53.0,43.0,0.0,96.0,96.0,96.0
6,2019-09,Hay,1,62.0,14.0,7.0,44.0,39.0,0.0,83.0,83.0,83.0
7,2019-09,Hay,2,61.0,8.0,5.0,32.0,42.0,0.0,74.0,74.0,74.0
8,2019-09,Hay,3,55.0,2.0,10.0,25.0,42.0,0.0,67.0,67.0,67.0
9,2019-09,Hay,4,70.0,3.0,14.0,46.0,40.0,0.0,86.0,86.0,86.0
10,2019-09,Hay,5,66.0,4.0,13.0,43.0,39.0,1.0,83.0,83.0,83.0
5,2019-09,Hazel Wolf K-8,State FDK,61.0,7.0,10.0,40.0,35.0,0.0,75.0,75.0,75.0
6,2019-09,Hazel Wolf K-8,1,63.0,7.0,5.0,24.0,51.0,0.0,75.0,75.0,75.0
7,2019-09,Hazel Wolf K-8,2,55.0,12.0,14.0,39.0,39.0,0.0,78.0,78.0,78.0
8,2019-09,Hazel Wolf K-8,3,56.0,6.0,13.0,40.0,35.0,0.0,75.0,75.0,75.0
9,2019-09,Hazel Wolf K-8,4,66.0,8.0,10.0,38.0,44.0,0.0,82.0,82.0,82.0
10,2019-09,Hazel Wolf K-8,5,73.0,2.0,8.0,37.0,44.0,1.0,82.0,82.0,82.0
11,2019-09,Hazel Wolf K-8,6,67.0,4.0,17.0,35.0,52.0,0.0,87.0,87.0,87.0
12,2019-09,Hazel Wolf K-8,7,68.0,10.0,16.0,51.0,39.0,0.0,90.0,90.0,90.0
13,2019-09,Hazel Wolf K-8,8,69.0,4.0,12.0,34.0,50.0,0.0,84.0,84.0,84.0
4,2019-09,Highland Park,Preschool,19.0,0.0,0.0,8.0,11.0,0.0,19.0,0.0,0.0
5,2019-09,Highland Park,State FDK,43.0,8.0,1.0,26.0,26.0,0.0,52.0,52.0,52.0
6,2019-09,Highland Park,1,31.0,17.0,9.0,31.0,25.0,0.0,56.0,56.0,56.0
7,2019-09,Highland Park,2,25.0,22.0,3.0,26.0,23.0,0.0,49.0,49.0,49.0
8,2019-09,Highland Park,3,40.0,17.0,7.0,44.0,17.0,0.0,61.0,61.0,61.0
9,2019-09,Highland Park,4,30.0,19.0,6.0,26.0,26.0,0.0,52.0,52.0,52.0
10,2019-09,Highland Park,5,30.0,12.0,11.0,29.0,19.0,0.0,48.0,48.0,48.0
6,2019-09,In Tandem,2 3,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0
7,2019-09,In Tandem,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
8,2019-09,In Tandem,5,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0
9,2019-09,In Tandem,6,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0
10,2019-09,In Tandem,7,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,3.86
11,2019-09,In Tandem,8,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.86
6,2019-09,Ingraham,9,287.0,32.0,54.0,186.0,176.0,0.0,362.0,362.0,362.0
7,2019-09,Ingraham,10,315.0,30.0,34.0,193.0,181.0,0.0,374.0,374.0,372.67
8,2019-09,Ingraham,11,296.0,33.0,43.0,191.0,171.0,1.0,363.0,345.0,306.54
9,2019-09,Ingraham,12,304.0,35.0,50.0,199.0,181.0,0.0,380.0,339.0,286.09
6,2019-09,Interagency,9,3.0,1.0,2.0,5.0,1.0,0.0,6.0,6.0,6.0
7,2019-09,Interagency,10,19.0,5.0,13.0,20.0,16.0,0.0,36.0,36.0,36.0
8,2019-09,Interagency,11,58.0,3.0,31.0,48.0,42.0,0.0,90.0,90.0,90.0
9,2019-09,Interagency,12,116.0,23.0,67.0,126.0,68.0,0.0,194.0,194.0,194.0
7,2019-09,Interagency Open Doors Program,11,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
8,2019-09,Interagency Open Doors Program,12,39.0,0.0,12.0,17.0,34.0,0.0,51.0,0.0,0.0
5,2019-09,J. Stanford International,State FDK,68.0,10.0,0.0,40.0,38.0,0.0,78.0,78.0,78.0
6,2019-09,J. Stanford International,1,51.0,25.0,3.0,40.0,39.0,0.0,79.0,79.0,79.0
7,2019-09,J. Stanford International,2,79.0,17.0,4.0,37.0,60.0,1.0,98.0,98.0,98.0
8,2019-09,J. Stanford International,3,64.0,4.0,7.0,36.0,39.0,0.0,75.0,75.0,75.0
9,2019-09,J. Stanford International,4,55.0,7.0,12.0,28.0,44.0,0.0,72.0,72.0,72.0
10,2019-09,J. Stanford International,5,54.0,4.0,9.0,29.0,37.0,0.0,66.0,66.0,66.0
6,2019-09,Jane Addams,4 5 6,292.0,37.0,58.0,194.0,175.0,0.0,369.0,369.0,369.0
